,Video id,Title,Description,Category
0,e2NQE41J5eM,How do I travel so much ! How do I earn money!!,SUBSCRIBE - https://goo.gl/dEtSMJ ('MountainTrekker') Gimbal - https://goo.gl/Frwci2 If you have any other query feel free to ask at ...,Travel and Blogs
1,i9E_Blai8vk,TRAVEL VLOG ∙ Welcome to Bali | PRISCILLA LEE,I had the chance to fly out to Bali with my whole family this Thanksgiving for our first ever trip abroad! I wanted to document my memories so that I can always ...,Travel and Blogs
2,7ByoBJYXU0k,5 Steps to Becoming a Travel Blogger,"Travel blogger, Nikki Vargas, of The Pin the Map Project (voted top 100 travel blog in 2015) shares her best tips to getting started as a travel blogger and ...",Travel and Blogs
3,EthqIhPtd2I,"TRAVEL VLOG: SANTORINI, GREECE",Thank you so much for watching! I hope you found travel and outfit inspiration for your next trip! Watch more of my travel videos here: ...,Travel and Blogs
4,ehmsJLZlCZ0,Ep 1| Travelling through North East India | Off To Arunachal | The Journey Begins | Pasighat,"The journey to Arunachal, North East India begins with a train journey from Guwahati to Murkongselek. From here we head to Pasighat. And me and my travel ...",Travel and Blogs
5,0UeQiBzUE9s,How To Become A Travel Blogger: 3 reasons NOT to start,"Want to become a travel blogger? Here are 3 reasons not to start, to help you start! Come follow me around; Instagram: https://www.instagram.com/_iseethesea ...",Travel and Blogs
6,-LzdIILq5vE,GOA TRAVEL DIARY | FOUR DAYS IN GOA | TRAVEL OUTFIT IDEAS,"Hope you enjoy MY GOA TRAVEL DIARY this video! Don't forget to subscribe and like this video Thank you for your support, love you guys! BLOG: ...",Travel and Blogs
7,fxnQ6cWmvQU,TRAVELLING ALONE AS A 15 YEAR OLD IN INDIA! | DELHI | Mallika Vlogs,"Hey Internet! Thank you for watching this video. Like, comment & subscribe! What do i use to film? Canon EOS 600 D -https://amzn.to/2rY6N10 Lights -Meike ...",Travel and Blogs
8,942sCY6d7kU,Top 10 YouTube Travellers,"Hello, and welcome to TopX, where we count down the very best that YouTube has to offer. Today we're taking you all around the world and you don't even ...",Travel and Blogs
9,yvn79Rv0F48,"Backpacking In Meghalaya | NorthEast India Trip | Sohra, Living Roots Bridge | Tanya Khanijow","In this video I explored North East India, starting from Guwahati, Shillong, Cherrapunji (Sohra) and Double Decker Living Roots Bridge! It was a spontaneous ...",Travel and Blogs
10,4gGbm9qoRiM,HOW TO TRAVEL VLOG! 4 Steps For Beginners,Ready to BECOME a Travel Vlogger? Enroll in my travel vlogging course to help you start the travel youtube channel you dream of: ...,Travel and Blogs
